"Drug"	"CID"	"ATC"	"miRNA"	"Gene"
"prednisolone"	"CID100004894"	"A07"	"miR-504"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-195"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-100"	"SMARCD1"
"prednisolone"	"CID100004894"	"A07"	"miR-196a"	"ANXA1"
"prednisolone"	"CID100004894"	"A07"	"let-7i"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-320c"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-150"	"SMARCD1"
"prednisolone"	"CID100004894"	"A07"	"miR-141"	"SMARCD1"
"prednisolone"	"CID100004894"	"A07"	"miR-454"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-106b"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-30e"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-129-5p"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"let-7e"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-519d"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-182"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-494"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-93"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-223"	"SMARCD1"
"prednisolone"	"CID100004894"	"A07"	"miR-23a"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-103"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-320d"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-431"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-9"	"ARID1A"
"prednisolone"	"CID100004894"	"A07"	"miR-590-3p"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-130b"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-32"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-497"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-128"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"let-7c"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-21"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-340"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-590-5p"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-876-3p"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-107"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-103"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-361-5p"	"HSP90AA1"
"prednisolone"	"CID100004894"	"A07"	"miR-181c"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-301a"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-33b"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-92a"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-320a"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-30e"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-320a"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"let-7a"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-193b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-16"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-214"	"LIMK2"
"prednisolone"	"CID100004894"	"A07"	"miR-429"	"GTF2E1"
"prednisolone"	"CID100004894"	"A07"	"miR-15b"	"MAP2K1"
"prednisolone"	"CID100004894"	"A07"	"miR-495"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-410"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-144"	"ARID1A"
"prednisolone"	"CID100004894"	"A07"	"miR-23a"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"let-7d"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"let-7a"	"KLF9"
"prednisolone"	"CID100004894"	"A07"	"miR-506"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-429"	"DUSP1"
"prednisolone"	"CID100004894"	"A07"	"miR-144"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-130b"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-506"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-320b"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-130a"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-181a"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-29b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-340"	"ARID1A"
"prednisolone"	"CID100004894"	"A07"	"miR-124"	"CCL2"
"prednisolone"	"CID100004894"	"A07"	"miR-200b"	"PDPK1"
"prednisolone"	"CID100004894"	"A07"	"miR-488"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-503"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-193a-3p"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-124a"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-15a"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-200b"	"KLF9"
"prednisolone"	"CID100004894"	"A07"	"miR-15a"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-373"	"RELA"
"prednisolone"	"CID100004894"	"A07"	"miR-192"	"SMARCB1"
"prednisolone"	"CID100004894"	"A07"	"miR-495"	"HSP90AA1"
"prednisolone"	"CID100004894"	"A07"	"miR-29c"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-377"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-22"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-200a"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-133b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-16"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-211"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-224"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-708"	"SMARCC2"
"prednisolone"	"CID100004894"	"A07"	"miR-30d"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-15a"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-301b"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-486-5p"	"ARID1A"
"prednisolone"	"CID100004894"	"A07"	"miR-195"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-302e"	"AKT1"
"prednisolone"	"CID100004894"	"A07"	"miR-181d"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-23b"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"let-7f"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-27a"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-100"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-320b"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-320c"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-499-5p"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-376c"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-195"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-363"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-124"	"GTF2E1"
"prednisolone"	"CID100004894"	"A07"	"miR-374b"	"CCL2"
"prednisolone"	"CID100004894"	"A07"	"miR-148*"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-181b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"let-7g"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-98"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-7"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-320c"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-490-3p"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-520d-3p"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-429"	"KLF9"
"prednisolone"	"CID100004894"	"A07"	"let-7g"	"DUSP1"
"prednisolone"	"CID100004894"	"A07"	"miR-582-5p"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-96"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"let-7d"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-124"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-29a"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-214"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-15a"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-107"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-892b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-379"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-200c"	"DUSP1"
"prednisolone"	"CID100004894"	"A07"	"miR-30c"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"let-7b"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-141"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-539"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-200b"	"GTF2E1"
"prednisolone"	"CID100004894"	"A07"	"let-7f"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-363"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-320d"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-141"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"let-7c"	"KLF9"
"prednisolone"	"CID100004894"	"A07"	"miR-320d"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-34c-5p"	"CAV1"
"prednisolone"	"CID100004894"	"A07"	"miR-92b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"let-7a"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-124"	"RELA"
"prednisolone"	"CID100004894"	"A07"	"miR-302d"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"let-7e"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-221"	"ARID1A"
"prednisolone"	"CID100004894"	"A07"	"miR-497"	"MAP2K1"
"prednisolone"	"CID100004894"	"A07"	"miR-21"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-106a"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-15b"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-488"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-29a"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-99a"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-138"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-16"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-15b"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"let-7i"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-200b"	"DUSP1"
"prednisolone"	"CID100004894"	"A07"	"miR-873"	"POLR2A"
"prednisolone"	"CID100004894"	"A07"	"miR-375"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-590-5p"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-148a"	"NR1I2"
"prednisolone"	"CID100004894"	"A07"	"miR-429"	"PDPK1"
"prednisolone"	"CID100004894"	"A07"	"miR-367"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-497"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-582"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-18b"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-18a"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-34b*"	"CAV1"
"prednisolone"	"CID100004894"	"A07"	"miR-200a"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-204"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-218"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-544"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-200c"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-497"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-429"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-320b"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-124"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-411"	"MAP2K1"
"prednisolone"	"CID100004894"	"A07"	"miR-135b"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-15a"	"MAP2K1"
"prednisolone"	"CID100004894"	"A07"	"miR-424"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-302c"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-28-5p"	"SMARCC2"
"prednisolone"	"CID100004894"	"A07"	"miR-302e"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-1271"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-138"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-506"	"GTF2E1"
"prednisolone"	"CID100004894"	"A07"	"miR-494"	"GTF2E1"
"prednisolone"	"CID100004894"	"A07"	"miR-200b"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-107"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-218"	"GNAS"
"prednisolone"	"CID100004894"	"A07"	"let-7f"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-214"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-302d"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-503"	"MAP2K1"
"prednisolone"	"CID100004894"	"A07"	"miR-106a"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-25"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-372"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-30a"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-424"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-200c"	"ADRB2"
"prednisolone"	"CID100004894"	"A07"	"miR-590-5p"	"SMARCD1"
"prednisolone"	"CID100004894"	"A07"	"miR-29b"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-142-3p"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-302b"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-320d"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-106b"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-203"	"PIK3CA"
"prednisolone"	"CID100004894"	"A07"	"miR-381"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-300"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-25"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-145"	"ACTB"
"prednisolone"	"CID100004894"	"A07"	"miR-590-3p"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-92a"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-182"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-199a-5p"	"CAV1"
"prednisolone"	"CID100004894"	"A07"	"miR-199b-5p"	"CAV1"
"prednisolone"	"CID100004894"	"A07"	"miR-199a-3p"	"CAV1"
"prednisolone"	"CID100004894"	"A07"	"miR-506"	"CAV1"
"prednisolone"	"CID100004894"	"A07"	"miR-1"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-128"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-181a"	"PDPK1"
"prednisolone"	"CID100004894"	"A07"	"miR-32"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-302a"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-135a"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-222"	"ARID1A"
"prednisolone"	"CID100004894"	"A07"	"miR-214"	"NOS3"
"prednisolone"	"CID100004894"	"A07"	"miR-153"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-374a"	"CCL2"
"prednisolone"	"CID100004894"	"A07"	"miR-128"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-320b"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-155"	"GNAS"
"prednisolone"	"CID100004894"	"A07"	"miR-302e"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-200c"	"KLF9"
"prednisolone"	"CID100004894"	"A07"	"miR-20b"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-497"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-183"	"NR3C1"
"prednisolone"	"CID100004894"	"A07"	"miR-92a"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-302b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-32"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-15b"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-429"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-196a"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-193a"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-518"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-96"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-367"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"let-7b"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-1271"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-338-3p"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-372"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-92b"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-135b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-125b"	"CYP1A1"
"prednisolone"	"CID100004894"	"A07"	"miR-29c"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-203"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-203"	"CAV1"
"prednisolone"	"CID100004894"	"A07"	"miR-363"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-206"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-181d"	"PDPK1"
"prednisolone"	"CID100004894"	"A07"	"miR-135b"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-181c"	"PDPK1"
"prednisolone"	"CID100004894"	"A07"	"miR-302c"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-21"	"SMARCD1"
"prednisolone"	"CID100004894"	"A07"	"let-7c"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"let-7g"	"CEBPD"
"prednisolone"	"CID100004894"	"A07"	"miR-145"	"STAT1"
"prednisolone"	"CID100004894"	"A07"	"miR-196a"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-15a"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-99b"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-200c"	"PDPK1"
"prednisolone"	"CID100004894"	"A07"	"miR-320c"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-124"	"CAV1"
"prednisolone"	"CID100004894"	"A07"	"miR-129-5p"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-503"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-519d"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-302b"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-30e"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-376a"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-30b"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-518a-5p"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-98"	"KLF9"
"prednisolone"	"CID100004894"	"A07"	"miR-135a"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-17"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-9"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-137"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-520b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-30b"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-613"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-520b"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-191"	"SMARCD1"
"prednisolone"	"CID100004894"	"A07"	"miR-17"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"let-7g"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"let-7c"	"DUSP1"
"prednisolone"	"CID100004894"	"A07"	"miR-372"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-181b"	"PDPK1"
"prednisolone"	"CID100004894"	"A07"	"miR-424"	"MAP2K1"
"prednisolone"	"CID100004894"	"A07"	"let-7d"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-302d"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"let-7a"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-302e"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-23a"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-373"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-520d-3p"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-9"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-92a"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-101"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-320a"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-92b"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"let-7e"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-200b"	"SDC2"
"prednisolone"	"CID100004894"	"A07"	"miR-218"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-520a-3p"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-153"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"let-7i"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-124"	"ZFP36L2"
"prednisolone"	"CID100004894"	"A07"	"miR-520c-3p"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-20a"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-135a"	"SMARCE1"
"prednisolone"	"CID100004894"	"A07"	"miR-98"	"DUSP1"
"prednisolone"	"CID100004894"	"A07"	"miR-497"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-1271"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-25"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"let-7g"	"KLF9"
"prednisolone"	"CID100004894"	"A07"	"miR-196b"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-361-5p"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-107"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-520e"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-103"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-520c-3p"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-302a"	"CORIN"
"prednisolone"	"CID100004894"	"A07"	"miR-15b"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-98"	"SMARCC1"
"prednisolone"	"CID100004894"	"A07"	"miR-376b"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-137"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-96"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-148b"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-125a-5p"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"let-7a"	"DUSP1"
"prednisolone"	"CID100004894"	"A07"	"miR-15a"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-30a"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-448"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-15b"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-378"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-320c"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-181d"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-139-5p"	"GNB1"
"prednisolone"	"CID100004894"	"A07"	"miR-153"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-195"	"INSR"
"prednisolone"	"CID100004894"	"A07"	"miR-103"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-154"	"GNB1"
"prednisolone"	"CID100004894"	"A07"	"miR-30d"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-302a"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-302c"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-373"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-15b"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-506"	"PIK3CA"
"prednisolone"	"CID100004894"	"A07"	"let-7f"	"CEBPD"
"prednisolone"	"CID100004894"	"A07"	"miR-497"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-424"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-98"	"CEBPD"
"prednisolone"	"CID100004894"	"A07"	"miR-125b"	"MCL1"
"prednisolone"	"CID100004894"	"A07"	"miR-422a"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-195"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-10a"	"PIK3CA"
"prednisolone"	"CID100004894"	"A07"	"miR-543"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-181b"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-495"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-324-5p"	"GNB1"
"prednisolone"	"CID100004894"	"A07"	"miR-155"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-222"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-320d"	"FKBP5"
"prednisolone"	"CID100004894"	"A07"	"miR-30c"	"NF1"
"prednisolone"	"CID100004894"	"A07"	"miR-16"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-101"	"GNB1"
"prednisolone"	"CID100004894"	"A07"	"let-7c"	"IRS2"
"prednisolone"	"CID100004894"	"A07"	"miR-520a-3p"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-144"	"DUSP1"
"prednisolone"	"CID100004894"	"A07"	"miR-128"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"let-7c"	"CEBPD"
"prednisolone"	"CID100004894"	"A07"	"miR-93"	"PIK3R1"
"prednisolone"	"CID100004894"	"A07"	"miR-520e"	"TXNIP"
"prednisolone"	"CID100004894"	"A07"	"miR-124"	"PIK3CA"
"prednisolone"	"CID100004894"	"A07"	"let-7b"	"DUSP1"
